title,season,episode,description,rating,total_vote,airdate,runtime,list_of_the_cast
The Undertow,3 ,18,Jess returns with news about Trey. Kirsten helps Ryan confront his savior complex. Seth and Summer receive sex counseling from Taylor.,7.4/10,316,Episode aired 23 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper (credit only)
  Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Autumn Reeser  as  Taylor Townsend
Cam Gigandet  as  Kevin Volchok
Nikki Griffin  as  Jess Sathers
Shaun Duke  as  Henry Griffin
Matt Cohen  as  Jim (as Matthew Cohen)
  Nikki Reed  as  Sadie Campbell
Kat Graham  as  Kim (as Katerina Graham)"
The Secrets and Lies,3 ,19,"Marissa's ties with Volchok send her into a substance abuse downward spiral. Summer is concerned about her friend--and the fate of her father's relationship if things don't improve. Ryan ...
                    See full summary »",7.4/10,304,Episode aired 30 March 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Shaun Duke  as  Henry Griffin
Nikki Reed  as  Sadie Campbell
Sven Holmberg  as  Gus
JD Pardo  as  Tattooed Surfer
Patty Onagan  as  Mima"
The Shape of Things to Come,3 ,2,The new dean of Harbor School wants to expel Ryan and Marissa. Summer fights with Taylor over being Social Chair. Kirsten worries about leaving rehab.,7.7/10,328,Episode aired 15 September 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Jeri Ryan  as  Charlotte Morgan
Eric Mabius  as  Dean Jack Hess
Autumn Reeser  as  Taylor Townsend
Rosalind Chao  as  Dr. Kim
Blake Robbins  as  Don
Tiffany Thornton  as  Ashley
Mike Mobley  as  Student"
The Day After Tomorrow,3 ,20,College acceptance letters arrive. Three get in... and one doesn't.,7.6/10,309,Episode aired 6 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Shaun Duke  as  Henry Griffin
Nikki Reed  as  Sadie Campbell
Chase Kim  as  Seung Ho (as Charles S. Kim)"
The Dawn Patrol,3 ,21,"Ryan heads to Albuquerque to invite his mom to graduation, while Summer tries to figure out why Seth broke up with her.",7.6/10,308,Episode aired 13 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Jeff Hephner  as  Matt Ramsey
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Shaun Duke  as  Henry Griffin
Nicole Garza  as  Chloe
Daphne Ashbrook  as  Dawn Atwood
Erin Foster  as  Heather
JD Pardo  as  Tattooed Guy"
The College Try,3 ,22,"Ryan and Marissa arrive at Berkeley, and Summer and student/poseur Seth visit Brown for freshman orientation weekends. Familiar faces surface.",7.8/10,304,Episode aired 20 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Samaire Armstrong  as  Anna Stern
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Matt Barr  as  Wes Seyfried
Erick Avari  as  Dr. Overbee
Alain Uy  as  Miguel
Adam Jamal Craig  as  Jack
Nathanael Johnson  as  Prefrosh #1"
The Party Favor,3 ,23,Harbor's Senior Prom brings out the best and the worst in everyone.,8.0/10,329,Episode aired 27 April 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Navi Rawat  as  Theresa Diaz
Samaire Armstrong  as  Anna Stern
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Lisa Tucker  as  Self
Chase Kim  as  Seung Ho (as Charles S. Kim)
  Justin Chon  as  Big Korea"
The Man of the Year,3 ,24,Sandy is voted Man of the Year. Kirsten hits the bottle. Summer tries to write an impulsive wrong. Ryan is blackmailed into stealing a car. Seth burns down his dad's office. Marissa gets Kaitlyn out of trouble.,7.8/10,345,Episode aired 4 May 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Navi Rawat  as  Theresa Diaz
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Willa Holland  as  Kaitlin Cooper
Lucy Hale  as  Hadley Hawthorne
Brock Kelly  as  Trevor Knightley
Lamont Thompson  as  Greg Hoades
Kimberly Oja  as  Taryn Baker (as Kim Oja)"
The Graduates,3 ,25,"On graduation day, Marissa is leaving to be with her dad, but Volchok has feelings for her and is angry at Ryan.",8.7/10,583,Episode aired 18 May 2006,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Autumn Reeser  as  Taylor Townsend
Lamont Thompson  as  Greg Hoades
Willa Holland  as  Kaitlin Cooper
Daphne Ashbrook  as  Dawn Atwood
Paula Trickey  as  Veronica Townsend
Rosalind Chao  as  Dr. Kim"
The End of Innocence,3 ,3,Caleb's will is read. Ryan and Marissa are told to stay apart.,7.8/10,307,Episode aired 22 September 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Tate Donovan  as  Jimmy Cooper
Jeri Ryan  as  Charlotte Morgan
Eric Mabius  as  Dean Jack Hess
Autumn Reeser  as  Taylor Townsend
Michael Adler  as  Jeff Frenkel
Blake Robbins  as  Don
Jennifer Parsons  as  Realtor
Jason Carroll  as  College Guy"
The Last Waltz,3 ,4,Public school? No problem. Marissa's glad to be at a school where no one knows about her. Oops. Everyone knows. Charlotte closes in on Kirsten. And Summer spies on someone lip-locked with Taylor.,7.9/10,307,Episode aired 29 September 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeri Ryan  as  Charlotte Morgan
Eric Mabius  as  Dean Jack Hess
Autumn Reeser  as  Taylor Townsend
Kayla Ewell  as  Casey
Johnny Lewis  as  Dennis 'Chili' Childress
Richard Voll  as  Glen Morgan (as Rich Voll)
  Erin Foster  as  Heather"
The Perfect Storm,3 ,5,"Is Ryan shipping out? Sandy's mind-meld persuasion skills fail to convince him to stay. But where there's a will, there's another Cohen way. Charlotte now zeroes in on Julie; Summer outwits Taylor.",7.7/10,289,Episode aired 3 November 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeri Ryan  as  Charlotte Morgan
Eric Mabius  as  Dean Jack Hess
Autumn Reeser  as  Taylor Townsend
Kayla Ewell  as  Casey
Johnny Lewis  as  Dennis 'Chili' Childress
Richard Voll  as  Glen Morgan (as Rich Voll)
  Paul Ganus  as  Sean"
The Swells,3 ,6,"Party by night. Surf by first light. The Dawn Patrol beach blast is the backdrop for a developing Marissa-Johnny attraction. Meanwhile, Taylor has a crush on...Seth?! And Ryan again lets his fists do the talking.",7.5/10,294,Episode aired 10 November 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeri Ryan  as  Charlotte Morgan
Jeff Hephner  as  Matt Ramsey
Autumn Reeser  as  Taylor Townsend
Kayla Ewell  as  Casey
Johnny Lewis  as  Dennis 'Chili' Childress
Rob Brownstein  as  Kurt Williams
Cam Gigandet  as  Kevin Volchok"
The Anger Management,3 ,7,Charlotte and Julie throw a faux-benefit. Taylor causes a rift between Seth and Summer. The tension between Ryan and Volchok comes to a head.,7.9/10,301,Episode aired 17 November 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeri Ryan  as  Charlotte Morgan
Jeff Hephner  as  Matt Ramsey
Autumn Reeser  as  Taylor Townsend
Johnny Lewis  as  Dennis 'Chili' Childress
Richard Voll  as  Glen Morgan (as Rich Voll)
  Cam Gigandet  as  Kevin Volchok
Erin Foster  as  Heather"
The Game Plan,3 ,8,"College applications are due, and everyone has to make up their minds about where to apply. But will their relationships survive this next chapter of their lives?",7.8/10,294,Episode aired 1 December 2005,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Autumn Reeser  as  Taylor Townsend
Johnny Lewis  as  Dennis 'Chili' Childress
Diego Wallraff  as  Mitchell Davidson
Tom Wright  as  Paul Glass
Leslie Stevens  as  Mrs. Rushfield
Nancy Linari  as  Landlord
Kimberly Atkinson  as  Neighbor"
The Disconnect,3 ,9,Marissa cares for an injured Johnny. But are they getting too close? Seth becomes insecure when Summer gets a higher score than him on the SATs.,7.5/10,283,Episode aired 8 December 2005,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Mischa Barton  as  Marissa Cooper
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Ryan Donowho  as  Johnny Harper
Jeff Hephner  as  Matt Ramsey
Lisa Rotondi  as  Gwen Harper
Andrea C. Pearson  as  Lily (as Andrea Pearson)
  Jeremy Brandt  as  Jeff Granzow
Tiffany Thornton  as  Ashley
Adam Donshik  as  Brown Representative
Kesler Casimir  as  Door Man"
The Avengers,4 ,1,"During the last days of summer before college, Seth is working at a comic book store in Newport. Ryan has problems dealing with the issues of the past and pushes himself with his new job. ...
                    See full summary »",8.3/10,454,Episode aired 2 November 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Michael Nouri  as  Dr. Neil Roberts
Paula Trickey  as  Veronica Townsend
Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Channon Roe  as  Jake
Wayne Dalglish  as  Brad Ward
Corey Price  as  Eric Ward"
The French Connection,4 ,10,Taylor's ex-hubby writes a hot-selling erotic novel. Who's the lead character? Three guesses and the first two don't count. Seth seeks Neil's permission to marry Summer. Kirsten uncovers Julie's biz scam.,7.1/10,308,Episode aired 11 January 2007,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Chris Brown  as  Will Tutt
Michael Nouri  as  Dr. Neil Roberts
Brandon Quinn  as  Spencer Bullit
Henri Lubatti  as  Henri-Michel de Momourant
Gérard Ismaël  as  Je Pense Host (as Gerard Ismael)
  Wayne Dalglish  as  Brad Ward"
The Dream Lover,4 ,11,"Take her, I want her. Ryan overcomes his indecision and competes with Henri-Michel for Taylor's affections. Che leads Seth on a trek of spiritual renewal. Embrace your inner otter, Seth! ...
                    See full summary »",7.0/10,302,Episode aired 17 January 2007,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Chris Brown  as  Will Tutt
Brandon Quinn  as  Spencer Bullit
Henri Lubatti  as  Henri-Michel de Momourant
Julia Ling  as  Lucy
Lorna Scott  as  Beatrice
Wyndoline Landry  as  Rachel"
The Groundhog Day,4 ,12,"Seth and Che get in some trouble with the police when Che drags Seth into helping him try to free a groundhog before Newport's annual Groundhog Day festival. Meanwhile, Kirsten gets some life altering news and Taylor gets some extra help from a therapist to make things different with Ryan.",7.5/10,311,Episode aired 25 January 2007,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Gary Grubbs  as  Gordon Bullit
Kevin Sorbo  as  Frank Atwood
Alison La Placa  as  Dr. James (as Alison Laplaca)
  Sandra McCoy  as  Hippie Chick
Wayne Dalglish  as  Brad Ward
Corey Price  as  Eric Ward"
The Case of the Franks,4 ,13,"Seth and Summer come upon a fortune teller whose prediction makes the two question whether they are truly meant for each other. Ryan gets back in touch with his father (with a little help ...
                    See full summary »",7.7/10,302,Episode aired 1 February 2007,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Kevin Sorbo  as  Frank Atwood
Gary Grubbs  as  Gordon Bullit
Max Greenfield  as  Young Sandy Cohen
Ellen Hollman  as  Young Kirsten Nichol
Graham Miller  as  Young Jimmy Cooper
Cathy Lind Hayes  as  The Teacher
Viji Nathan  as  The Psychic"
The Shake Up,4 ,14,"On Taylor's 19th birthday, Ryan can't decide whether to tell her he loves her. Then, it happens...",8.0/10,349,Episode aired 8 February 2007,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Kevin Sorbo  as  Frank Atwood
José Zúñiga  as  Jason Spitz (as Jose Zuniga)
  Bre Blair  as  Carrie Spitz
Brian Kubach  as  Barista
Ashley Hartman  as  Holly Fischer
Ryan Dowler  as  Pregnant Girl #1
Jessica Williams  as  Pregnant Girl #2"
The Night Moves,4 ,15,Lives are on the line and boundaries tested as a major earthquake hits Newport.,8.3/10,374,Episode aired 15 February 2007,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Kevin Sorbo  as  Frank Atwood
Paula Trickey  as  Veronica Townsend
Aaron Fors  as  Gary
Lorna Scott  as  Beatrice
Scott Krinsky  as  Darryl
Ricardo Molina  as  ER Doctor
Craig Susser  as  Ham Guy"
"The End's Not Near, It's Here",4 ,16,"Six months after the earthquake, everyone makes decisions that will determine the rest of their lives.",9.2/10,"1,083",Episode aired 22 February 2007,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Kevin Sorbo  as  Frank Atwood
Gary Grubbs  as  Gordon Bullit
Brandon Quinn  as  Spencer Bullit
Todd Sherry  as  Todd
Jim Pirri  as  Patrick
Daniel Graves  as  Justice of the Peace
David Paluck  as  Inspector"
The Gringos,4 ,2,Summer's roommate doesn't know about Seth. Ryan is out of town searching for someone important. There is a clothing drive at Harbor.,7.6/10,333,Episode aired 8 November 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Cam Gigandet  as  Kevin Volchok
Tia Carrere  as  Dean Torres
Michelle Ongkingco  as  Amber
Steve-O  as  First Marine
Johnny Michaels  as  The Huge Bartender
Wayne Dalglish  as  Brad Ward"
The Cold Turkey,4 ,3,"Thanksgiving! Julie and Neil have relationship issues, but she is unwilling to talk about it. Seth has a new friend. Julie is informed on the movements of Volchock.",7.9/10,337,Episode aired 9 November 2006,42min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Michael Nouri  as  Dr. Neil Roberts
Cam Gigandet  as  Kevin Volchok
Lamont Thompson  as  Greg Hoades
Paula Trickey  as  Veronica Townsend
Scott Krinsky  as  Darryl
David Stifel  as  Bill
Sandra Marshall  as  Samples Lady"
The Metamorphosis,4 ,4,Summer soul-searches during a visit from Seth. Taylor pleads for Ryan's help with her marriage. Sandy longs for a guys' night. Julie vows to turn over a new leaf in moving on from Marissa's Death.,7.8/10,320,Episode aired 16 November 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
José Zúñiga  as  Jason Spitz
William Abadie  as  Jean Claude
Kimberly Oja  as  Taryn Baker (as Kim Oja)
  Wayne Dalglish  as  Brad Ward
Corey Price  as  Eric Ward
Zach Schenkkan  as  Kid"
The Sleeping Beauty,4 ,5,"Ryan can't sleep, and a smitten Taylor tries to seduce him by becoming his sleep therapist. Meanwhile, Seth vows not to call Summer, and Kaitlin struggles when Julie has a fling with her tennis instructor.",7.9/10,344,Episode aired 30 November 2006,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Gary Grubbs  as  Gordon Bullit
Brandon Quinn  as  Spencer Bullit
Michelle Ongkingco  as  Amber
Kat Sawyer  as  Head Dean
Matt Crabtree  as  College Scientist
Wayne Dalglish  as  Brad Ward"
The Summer Bummer,4 ,6,"Summer gets kicked out Brown, thanks to her friend Che. Ryan has fantasies about Taylor after kissing each other. And Kaitlin throws a party at Dr. Roberts house to get even with a popular girl.",8.1/10,350,Episode aired 7 December 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Gary Grubbs  as  Gordon Bullit
Brandon Quinn  as  Spencer Bullit
Kat Sawyer  as  Head Dean
Wayne Dalglish  as  Brad Ward
Ashley Benson  as  Riley
Corey Price  as  Eric Ward"
The Chrismukk-huh?,4 ,7,"In a parallel universe, Sandy is married to Julie, Kirsten is Mrs. Jimmy Cooper, Summer is engaged to Ches, and Seth is in full geek mode. And Ryan and Taylor, stuck there after a fall, must change it.",8.7/10,484,Episode aired 14 December 2006,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Pratt  as  Ché
Paula Trickey  as  Veronica Townsend
Tate Donovan  as  Jimmy Cooper
Wayne Dalglish  as  Brad Ward
Corey Price  as  Eric Ward
Craig Susser  as  Ham Guy /   Santa /   Journalist /   Caterer
Mark Daniel Cade  as  Security Guard"
The Earth Girls Are Easy,4 ,8,"Seth is clueless about what to do for New Year's Eve. Solution? Crash the Ryan-Taylor road trip to Vegas. Now add pregnancy tests, a space alien rave, thefts, misunderstandings, pursuits ...
                    See full summary »",8.0/10,314,Episode aired 28 December 2006,43min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Gary Grubbs  as  Gordon Bullit
Kevin Sorbo  as  Frank Atwood
Brandon Quinn  as  Spencer Bullit
Diana Gitelman  as  Alien Girl
Samuel Mongiello  as  Massive Alien
Jonathan Kowalsky  as  Fan Boy
Ammar Ramzi Mahmood  as  Samir (as Ammar Mahmood)"
The My Two Dads,4 ,9,"Warm hearts, cold feet: Seth and Summer each look for a way to call off the wedding. Who will crack first? Ryan's biological father plays the Big-C Card in hopes his son will see him.",7.4/10,297,Episode aired 4 January 2007,44min,"Peter Gallagher  as  Sandy Cohen
Kelly Rowan  as  Kirsten Cohen
Ben McKenzie  as  Ryan Atwood
Adam Brody  as  Seth Cohen
Melinda Clarke  as  Julie Cooper
Rachel Bilson  as  Summer Roberts
Autumn Reeser  as  Taylor Townsend
Willa Holland  as  Kaitlin Cooper
Chris Brown  as  Will Tutt
Kevin Sorbo  as  Frank Atwood
Bridgett Newton  as  Ms. Tidy
Wayne Dalglish  as  Brad Ward
Corey Price  as  Eric Ward
William Duffy  as (voice)
  Sydney Jay  as  Yacht Club Waiter (as Sydney Dace)"
